date,coordinates
20220522,"-120.003717, 50.642083"
20220522,"-121.837333, 56.160833"
20220722,"-118.100883, 49.9086"
20221011,"-119.495567, 49.4688"
20220826,"-121.274967, 51.589717"
20220819,"-118.149733, 51.2652"
20220811,"-117.076367, 49.65555"
20010813,"-116.797967, 49.805317"
20220804,"-114.711917, 49.0017"
20220629,"-122.736633, 53.202133"
20220716,"-121.517633, 59.266817"
20220726,"-124.339533, 48.771067"
20220815,"-120.877117, 50.402"
20220830,"-116.539583, 49.622917"
20220929,"-121.420083, 49.717"
20220817,"-122.204, 51.612467"
20220913,"-119.321367, 50.197033"
20221001,"-118.537967, 50.29305"
20220819,"-121.376417, 51.606883"
20220908,"-118.7407, 50.735033"
20220511,"-119.380817, 49.461033"
20230327,"-120.183633, 50.614917"
20220814,"-121.61145, 49.358367"
20220812,"-127.591333, 54.820333"
20221012,"-119.85125, 49.743417"
20221027,"-124.698266, 49.250917"
20220422,"-120.425017, 50.556167"
20220430,"-124.102833, 53.956867"
20220819,"-116.773833, 51.04775"
20220823,"-120.499267, 52.42615"
20230318,"-120.925083, 50.149183"
20220819,"-125.628917, 49.8787"
20220511,"-120.865883, 50.138033"
20220819,"-127.024933, 53.727467"
20220531,"-115.724117, 49.959883"
20220803,"-123.8641, 59.38045"
20220417,"-122.501033, 51.95105"
20220601,"-120.407617, 53.369367"
20220825,"-121.9485, 56.007167"
20220830,"-120.823833, 50.021283"
20220921,"-120.549583, 49.776917"
20220819,"-116.952367, 50.9363"
20220725,"-120.683833, 51.533117"
20221101,"-119.80275, 49.610333"
20220817,"-126.970267, 53.420183"
20220826,"-117.31075, 49.4941"
20220728,"-121.836883, 51.607083"
20220902,"-121.767483, 56.202067"
20221013,"-123.206883, 55.1582"
20220820,"-120.9093, 49.074167"
20220815,"-121.430033, 50.0123"
20220826,"-119.890717, 51.233167"
20221003,"-123.545117, 48.4989"
20220729,"-118.858717, 51.30945"
20220606,"-122.5418, 51.8105"
20220701,"-128.89955, 59.734017"
20220825,"-122.600583, 52.4252"
20220627,"-121.98875, 49.45795"
20220527,"-122.050967, 52.11955"
20220823,"-120.71305, 49.851467"
20220830,"-125.115367, 49.720667"
20220521,"-125.667067, 53.93255"
20220806,"-130.262783, 56.896433"
20220707,"-120.367033, 50.770483"
20220820,"-122.237217, 55.2496"
20221010,"-124.9029, 50.073567"
20220723,"-115.525833, 49.53145"
20221023,"-121.88505, 49.05955"
20220819,"-121.895367, 51.654117"
20220819,"-118.216067, 50.890083"
20220902,"-121.9815, 54.561167"
20220819,"-117.845633, 50.831083"
20220825,"-117.482417, 50.12975"
20221031,"-122.175633, 52.140483"
20220822,"-121.405204, 55.763832"
20220825,"-122.051567, 50.784683"
20220916,"-118.45655, 49.574667"
20220729,"-120.782833, 50.74165"
20220621,"-121.64125, 50.812367"
20221002,"-120.6235, 50.396183"
20220810,"-120.765633, 50.74595"
20220811,"-117.278533, 49.999083"
20220722,"-117.74045, 49.529083"
20220420,"-121.294633, 50.56305"
20220726,"-122.500533, 52.957133"
20220705,"-133.434883, 59.321117"
20220810,"-124.525167, 51.849283"
20220729,"-119.422, 51.340667"
20220506,"-120.4455, 50.568383"
20220823,"-121.590717, 51.753"
20220703,"-115.779883, 49.80655"
20220822,"-125.617967, 49.88305"
20220809,"-123.362583, 52.054617"
20220729,"-117.886233, 50.844833"
20220717,"-119.106383, 50.911217"
20220820,"-124.3327, 51.93745"
20220905,"-120.942517, 53.754667"
20220823,"-124.2357, 52.078467"
20220812,"-118.518217, 50.231667"
20220901,"-121.013467, 49.154667"
20220602,"-128.6319, 53.9668"
20220907,"-122.140503, 57.496667"
20220428,"-120.445333, 50.567583"
20220802,"-125.947783, 50.2737"
20220823,"-120.51425, 50.207917"
20220817,"-125.519533, 49.400083"
20220726,"-124.594333, 56.0925"
20220722,"-124.175883, 50.635533"
20220515,"-118.74685, 49.64405"
20220809,"-115.888233, 50.27085"
20220812,"-117.756717, 49.581533"
20220402,"-119.848633, 49.208917"
20220906,"-120.95265, 49.9216"
20220801,"-120.926917, 51.797633"
20220822,"-122.519283, 52.1627"
20220729,"-118.108267, 50.968"
20221002,"-117.261115, 49.456844"
20230326,"-122.281066, 50.711583"
20220831,"-116.535333, 49.1363"
20220822,"-124.225167, 53.685333"
20220826,"-121.30175, 49.3425"
20220628,"-122.087, 53.42955"
20220726,"-125.317833, 56.281167"
20221012,"-121.504733, 55.804267"
20220729,"-118.566933, 51.539617"
20220518,"-120.492083, 49.597717"
20220822,"-118.916317, 51.624467"
20220923,"-123.237883, 49.438967"
20220905,"-120.686117, 49.070083"
20220504,"-115.8648, 49.634383"
20220821,"-115.78245, 49.331"
20220828,"-120.682133, 49.468917"
20220821,"-115.81195, 50.304617"
20220811,"-118.257283, 51.230533"
20220402,"-123.08425, 51.933967"
20220922,"-124.521, 49.843"
20220418,"-123.950717, 52.135083"
20220717,"-121.07295, 50.148716"
20220914,"-117.01275, 49.80025"
20220720,"-122.890833, 55.127833"
